week_start,week_end,revenue,all_purchases,spend_google_search,spend_google_shopping_pmax,spend_meta,spend_tiktok,trend,yearly_sin_1,yearly_cos_1,yearly_sin_2,yearly_cos_2,us_federal_holiday_week,bfcm_week
2021-10-15,2021-10-21,96939.85,1105,3287.81,5514.110000000001,24909.57,1052.15,0,0.0,1.0,0.0,1.0,0,0
2021-10-22,2021-10-28,73689.93,911,3210.94,2631.49,19666.73,1050.4,1,0.12012616518235049,0.9927586335250793,0.23851257519407645,0.9711394088771653,0,0
2021-10-29,2021-11-04,99912.97,1092,2838.29,3685.21,22158.72,518.41,2,0.23851257519407645,0.9711394088771653,0.46325792256749165,0.8862235029485801,0,0
2021-11-05,2021-11-11,89927.95999999999,1052,5058.5,10546.19,26222.88,551.2,3,0.35344467127408763,0.9354554315134165,0.6612634749656385,0.7501537286959042,1,0
2021-11-12,2021-11-18,137318.47,1425,8274.82,30464.120000000003,29183.05,562.48,4,0.46325792256749165,0.8862235029485801,0.821100117812889,0.5707841943569038,0,0
2021-11-19,2021-11-25,154565.71,1581,13697.23,23808.74,38615.1,530.6,5,0.5663619330814524,0.8241566360566663,0.9335418911179212,0.35846832151248087,1,0
2021-11-26,2021-12-02,233003.32,2334,16366.68,27806.2,42218.38,536.41,6,0.6612634749656385,0.7501537286959042,0.992098522791769,0.1254612333527367,0,1
2021-12-03,2021-12-09,181420.34,2164,21460.55,29560.63,39689.39,530.04,7,0.7465881145324131,0.6652865452111115,0.9933900548258936,-0.11478762552212723,0,0
2021-12-10,2021-12-16,178902.51,2183,20212.39,30843.25,38113.37,529.65,8,0.821100117812889,0.5707841943569038,0.9373419384643773,-0.3484108069446806,0,0
2021-12-17,2021-12-23,124089.14,1627,27927.43,35292.9,31497.04,472.28,9,0.8837203473619977,0.4680153284438345,0.8271893372462497,-0.5619233046832195,0,0
2021-12-24,2021-12-30,111314.64,1628,11076.880000000001,26671.050000000003,56239.54,515.1899999999999,10,0.9335418911179212,0.35846832151248087,0.6692903895412567,-0.7430009249440493,1,0
2021-12-31,2022-01-06,117356.89,1692,10955.92,18736.760000000002,55481.77,446.88,11,0.9698431969672939,0.24372971360968407,0.47275920928627796,-0.8811916534074827,1,0
2022-01-07,2022-01-13,103584.31,1322,6240.09,12311.91,29057.61,440.42,12,0.992098522791769,0.1254612333527367,0.248939808553767,-0.9685189578512203,0,0
2022-01-14,2022-01-20,111461.04000000001,1566,4397.6,9159.89,66207.17,524.0,13,0.9999855506507186,0.005375731557583884,0.01075130776352193,-0.9999422030204416,1,0
2022-01-21,2022-01-27,124229.98,1890,4565.68,11263.539999999999,80168.76999999999,516.02,14,0.9933900548258936,-0.11478762552212723,-0.22805777122152024,-0.9736476020539838,0,0
2022-01-28,2022-02-03,124290.29,1648,4027.3900000000003,8878.6,21082.98,586.42,15,0.9724075561219969,-0.23328854407545477,-0.45370308603134346,-0.8911529104063092,0,0
2022-02-04,2022-02-10,134733.66,1776,7106.79,4332.54,20476.07,858.24,16,0.9373419384643773,-0.3484108069446806,-0.6531601223269297,-0.757219819208313,0,0
2022-02-11,2022-02-17,139441.18,1979,8441.6,6118.76,38026.16,847.36,17,0.8887010478292913,-0.45848712914008805,-0.8149159841660797,-0.5795791048257605,0,0
2022-02-18,2022-02-24,164735.37,2116,8438.92,13216.26,44716.4,856.69,18,0.8271893372462497,-0.5619233046832195,-0.9296339319682695,-0.3684843993077793,1,0
2022-02-25,2022-03-03,204068.27,2539,8369.49,8516.99,50350.17,851.6800000000001,19,0.7536976643929142,-0.6572212950663315,-0.9906923101615608,-0.1361203386226679,0,0
2022-03-04,2022-03-10,162576.88,2131,16149.96,12819.23,52608.19,882.0999999999999,20,0.6692903895412567,-0.7430009249440493,-0.9945667569706337,0.1041007489354256,0,0
2022-03-11,2022-03-17,157249.85,2153,16275.75,7780.93,47833.19,821.69,21,0.5751899607119779,-0.8180198708443172,-0.94103363474512,0.3383130181923067,0,0
2022-03-18,2022-03-24,153552.52000000002,2163,16400.51,8173.91,50967.78,1486.73,22,0.47275920928627796,-0.8811916534074827,-0.8331829385891789,0.5529974600700265,0,0
2022-03-25,2022-03-31,176495.06,2563,17652.06,8437.21,42933.09,7161.53,23,0.36348161248290634,-0.9316013725767187,-0.6772399381909491,0.7357622347736527,0,0
2022-04-01,2022-04-07,153371.14,2313,13876.23,7918.27,38932.67,8706.15,24,0.248939808553767,-0.9685189578512203,-0.4822058478963534,0.8760579434344277,0,0
2022-04-08,2022-04-14,145489.6,2160,15331.88,5748.79,44404.8,8775.52,25,0.13079267585675877,-0.9914097417023039,-0.2593382659754047,0.9657865518844576,0,0
2022-04-15,2022-04-21,125532.45000000001,1767,13098.16,3799.63,41719.73,8614.84,26,0.01075130776352193,-0.9999422030204416,-0.021501372740813793,0.999768818762748,0,0
2022-04-22,2022-04-28,164800.78,3065,13691.650000000001,3849.52,33011.28,2526.49,27,-0.10944576864891511,-0.9939927684469582,0.21757660514828087,0.9760432474496963,0,0
2022-04-29,2022-05-05,136765.42,2325,11884.05,4898.37,29669.91,2469.64,28,-0.22805777122152024,-0.9736476020539838,0.4440958041592184,0.8959793059709454,0,0
2022-05-06,2022-05-12,143856.82,2126,11605.6,8790.65,34354.19,2520.1800000000003,29,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971,0,0
2022-05-13,2022-05-19,152843.03,2124,11082.55,9798.34,40623.06,2526.73,30,-0.45370308603134346,-0.8911529104063092,0.8086376511543116,0.5883070194512707,0,0
2022-05-20,2022-05-26,128033.63,1766,11804.539999999999,8676.52,41317.3,1633.87,31,-0.5574684374327888,-0.8301981337405215,0.9256185127518919,0.37845788253248963,0,0
2022-05-27,2022-06-02,191751.36,2826,13034.55,10233.119999999999,39370.86,966.64,32,-0.6531601223269297,-0.757219819208313,0.9891715794849546,0.14676370920374052,1,0
2022-06-03,2022-06-09,142844.05,2008,9595.89,8350.53,36155.2,1224.98,33,-0.7393922635959238,-0.6732748922501833,0.9956284932063294,-0.09340183893100816,0,0
2022-06-10,2022-06-16,128488.04999999999,1951,8498.73,8713.86,36569.85,2882.34,34,-0.8149159841660797,-0.5795791048257605,0.94461655322236,-0.3281761224987403,0,0
